Document1, Document2, Cosine Similarity
1.1.txt, 1.2.txt, 0.4385851377731112
1.1.txt, 1.3.txt, 0.3378016102653221
1.1.txt, 1.4.txt, 0.2745470980429387
1.1.txt, 1.5.txt, 0.3638528654652526
1.1.txt, 1.6.txt, 0.3014028741246884
1.1.txt, 1.7.txt, 0.2451678767989329
1.1.txt, 1.8.txt, 0.2264582538144302
1.1.txt, 1.9.txt, 0.2095835346227837
1.1.txt, 2.1.txt, 0.08568953934682387
1.1.txt, 3.9.txt, 0.10151880810518023
1.1.txt, 4.4.txt, 0.08153331410907445
1.1.txt, 5.1.txt, 0.042806037185047205
1.1.txt, 5.10.txt, 0.059612939722813826
1.1.txt, 5.2.txt, 0.039927604304836876
1.1.txt, 5.3.txt, 0.06883459764558506
1.1.txt, 5.4.txt, 0.05605270248052807
1.1.txt, 5.5.txt, 0.06903638685673134
1.1.txt, 5.6.txt, 0.0019726931939047765
1.1.txt, 5.7.txt, 0.0373198277264794
1.1.txt, 5.8.txt, 0.03841469915014458
1.1.txt, 5.9.txt, 0.028689768089402726
1.1.txt, 6.1.txt, 0.040419033387916144
1.1.txt, 6.2.txt, 0.09581583337961881
1.1.txt, 6.4.txt, 0.0548533275123968
1.1.txt, 6.5.txt, 0.06442110034506487
1.1.txt, 6.6.txt, 0.04230340009712485
1.1.txt, 6.7.txt, 0.025180766982638558
1.1.txt, 6.8.txt, 0.035486473383580915
1.1.txt, 6.9.txt, 0.04379228003747581
1.1.txt, 7.1.txt, 0.023897991118230322
1.2.txt, 1.3.txt, 0.2932646384760744
1.2.txt, 1.4.txt, 0.26357025755014274
1.2.txt, 1.5.txt, 0.28384283580523106
1.2.txt, 1.6.txt, 0.21417365603136473
1.2.txt, 1.7.txt, 0.21326635753487627
1.2.txt, 1.8.txt, 0.20974522857567
1.2.txt, 1.9.txt, 0.1875004227079433
1.2.txt, 2.1.txt, 0.123172647574108
1.2.txt, 3.9.txt, 0.09008901833671401
1.2.txt, 4.4.txt, 0.07188341510284982
1.2.txt, 5.1.txt, 0.04164468078717399
1.2.txt, 5.10.txt, 0.06860759507098395
1.2.txt, 5.2.txt, 0.04575229358498994
1.2.txt, 5.3.txt, 0.07003969214292619
1.2.txt, 5.4.txt, 0.06728446226164747
1.2.txt, 5.5.txt, 0.06640434437187734
1.2.txt, 5.6.txt, 0.0023960250295198752
1.2.txt, 5.7.txt, 0.044276930493217
1.2.txt, 5.8.txt, 0.03406382965041591
1.2.txt, 5.9.txt, 0.0631664889278847
1.2.txt, 6.1.txt, 0.07486065006036165
1.2.txt, 6.2.txt, 0.06637651941568873
1.2.txt, 6.4.txt, 0.0508656640233969
1.2.txt, 6.5.txt, 0.054616597979922986
1.2.txt, 6.6.txt, 0.03650279970512905
1.2.txt, 6.7.txt, 0.022687477317884206
1.2.txt, 6.8.txt, 0.03473490333244857
